date,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,totalPrisesRendezVousSemaine,nouvelles_livraisonsNombreTotalDoses,nouvelles_livraisonsNombreDosesPfizer,nouvelles_livraisonsNombreDosesModerna
2021-09-19,6210792,5776242,377670,9257838,7318,225367,615464,987027,3652900,1638000,1657300
2021-09-20,6210792,5776242,377670,9257838,39562,147381,470325,758201,3652900,1638000,1657300
2021-09-21,6210792,5776242,377670,9257838,43303,147381,470325,758201,3652900,1638000,1657300
2021-09-22,6210792,5776242,377670,9257838,45585,147381,470325,758201,3652900,1638000,1657300
2021-09-23,6210792,5776242,377670,9257838,40722,147381,470325,758201,3652900,1638000,1657300
2021-09-24,8353923,7935288,366500,11518746,49603,147381,470325,758201,3652900,1638000,1657300
2021-09-25,8353923,7935288,366500,11518746,32570,147381,470325,758201,3652900,1638000,1657300
2021-09-26,8353923,7935288,366500,11518746,5049,147381,470325,758201,2637990,1657890,301200
2021-09-27,8353923,7935288,366500,11518746,31820,84244,318592,522992,2637990,1657890,301200
2021-09-28,8353923,7935288,366500,11518746,34414,84244,318592,522992,2637990,1657890,301200
2021-09-29,8353923,7935288,366500,11518746,42063,84244,318592,522992,2637990,1657890,301200
2021-09-30,8353923,7935288,366500,11518746,33738,84244,318592,522992,2637990,1657890,301200
2021-10-01,8983702,8579472,355860,11894286,44775,84244,318592,522992,2637990,1657890,301200
2021-10-02,8983702,8579472,355860,11894286,34935,84244,318592,522992,2637990,1657890,301200
2021-10-03,8983702,8579472,355860,11894286,4698,84244,318592,522992,5208860,4116060,1092800
2021-10-04,8983702,8579472,355860,11894286,27189,21496,210252,325520,5208860,4116060,1092800
2021-10-05,8983702,8579472,355860,11894286,28021,21496,210252,325520,5208860,4116060,1092800
2021-10-06,8983702,8579472,355860,11894286,28021,21496,210252,325520,5208860,4116060,1092800
