date,deces,gueris,decesEhpad,reanimation,casConfirmes,hospitalises,testsPositifs,testsRealises,casConfirmesEhpad,casPossiblesEhpad,nouvellesReanimations,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,cumulPremieresInjections,nouvellesHospitalisations,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,totalPrisesRendezVousSemaine,livraisonsCumulNombreTotalDoses,livraisonsCumulNombreDosesPfizer,livraisonsCumulNombreDosesModerna,r0
2020-10-04,21449,98374,10781,1341,619190,6982,1981,25097,45701,,91,,,,,418,,,,,,,,,1.16
2020-10-05,21518,98680,10781,1415,624274,7294,21442,235404,45701,,152,,,,,710,,,,,,,,,1.21
2020-10-06,21580,99295,10785,1426,634763,7398,19663,213566,46520,,168,,,,,829,,,,,,,,,1.25
2020-10-07,21660,99793,10785,1416,653509,7536,20728,209913,46520,,143,,,,,789,,,,,,,,,1.29
2020-10-08,21736,100306,10785,1427,671638,7624,22551,226355,46520,,114,,,,,711,,,,,,,,,1.32
2020-10-09,21798,100828,10832,1448,691977,7864,24077,253769,47549,,150,,,,,848,,,,,,,,,1.34
2020-10-10,21852,101311,10832,1465,718873,7997,11317,112274,47549,,110,,,,,694,,,,,,,,,1.36
2020-10-11,21898,101491,10832,1492,734974,8252,3223,31662,47549,,73,,,,,503,,,,,,,,,1.37
2020-10-12,21993,101899,10832,1548,743479,8692,31710,292276,47549,,171,,,,,916,,,,,,,,,1.39
2020-10-13,22077,102680,10856,1642,756472,8949,28593,270080,48845,,226,,,,,1168,,,,,,,,,1.39
2020-10-14,22181,103413,10856,1673,779063,9194,28802,273485,48845,,193,,,,,1133,,,,,,,,,1.4
2020-10-15,22269,104082,10856,1750,809684,9605,32024,294260,48845,,219,,,,,1207,,,,,,,,,1.41
2020-10-16,22391,104696,10912,1800,834770,10042,33611,314899,48845,,212,,,,,1225,,,,,,,,,1.42
2020-10-17,22480,105194,10912,1877,867197,10420,15289,137636,48845,,175,,,,,986,,,,,,,,,1.43
2020-10-18,22565,105431,10912,1948,897034,10918,4705,39288,48845,,147,,,,,835,,,,,,,,,1.43
2020-10-19,22711,105935,10912,2099,910277,11661,45280,346446,48845,,269,,,,,1424,,,,,,,,,1.44
2020-10-20,22873,106839,11012,2177,930745,12458,44360,313251,53385,,278,,,,,1944,,,,,,,,,1.45
2020-10-21,23036,107652,11012,2248,957421,13185,46760,321828,53385,,284,,,,,1754,,,,,,,,,1.45
2020-10-22,23198,108599,11012,2319,999043,14032,51127,347546,53385,,262,,,,,1998,,,,,,,,,1.46
2020-10-23,23382,109486,11126,2441,1041075,15008,55377,378492,57261,,299,,,,,2091,,,,,,,,,1.46
2020-10-24,23519,110322,11126,2500,1086497,15660,25152,162142,57261,,233,,,,,2500,,,,,,,,,1.46
2020-10-25,23635,110660,11126,2584,1138507,16477,7331,46108,57261,,191,,,,,1298,,,,,,,,,1.45
2020-10-26,23892,111347,11126,2770,1165278,17784,68748,418365,57261,,357,,,,,2314,,,,,,,,,1.44
